id,track_name,track_artist,track_album_name,track_album_release_date,track_popularity,tempo,loudness,danceability
116,The Boys Are Back In Town,Thin Lizzy,Jailbreak (Deluxe Edition),1976,0.0625,0.19651708722246125,0.7530375183586275,0.36654804270462626
117,Highway to Hell,AC/DC,Highway to Hell,1979-07-27,0.5,0.4141523727577113,0.8645244559170413,0.5195729537366547
118,Vienna,Billy Joel,The Stranger (Legacy Edition),1977,0.34375,0.4715649414214725,0.822933819929681,0.46975088967971523
119,Alive,Pearl Jam,Ten,1991-08-27,0.15625,0.16026636239501701,0.8361297788063555,0.17556346381969154
120,The Best,Tina Turner,Foreign Affair,1989-09-13,0.03125,0.3401981506768175,0.7588900262584005,0.6239620403321471
121,Give It Away,Red Hot Chili Peppers,Blood Sugar Sex Magik (Deluxe Edition),1991-09-24,0.125,0.26356908151113284,0.7504561840758379,0.6287069988137604
122,Good Riddance (Time of Your Life),Green Day,Nimrod,1997-10-14,0.34375,0.2824488879744113,0.7966309137033246,0.4021352313167259
123,The Boys Of Summer,Don Henley,Building The Perfect Beast,1984-11-19,0.15625,0.7958200058609706,0.6654056700342694,0.45077105575326215
124,Break on Through (To the Other Side),The Doors,The Doors,1967-01-04,0.125,0.2527325215265958,0.7579108994614803,0.33807829181494653
125,Sabotage,Beastie Boys,Ill Communication,1994-05-23,0.09375,0.7408889969635188,0.808024389158396,0.2230130486358244
126,Pour Some Sugar On Me - Remastered 2017,Def Leppard,Hysteria (Super Deluxe),1987-08-03,0.125,0.22249240879644366,0.8621656504517335,0.15539739027283508
127,Learn to Fly,Foo Fighters,There Is Nothing Left To Lose,1999-11-02,0.15625,0.5405311036705887,0.8816146690996485,0.39027283511269273
128,Hit Me With Your Best Shot,Pat Benatar,Crimes Of Passion,1980-08-05,0.0625,0.4869406358529272,0.7697939383150119,0.7176749703440094
129,Bullet With Butterfly Wings - Remastered 2012,The Smashing Pumpkins,Mellon Collie And The Infinite Sadness (Deluxe Edition),1995,0.15625,0.4524107916674462,0.7669010636877476,0.31791221826809013
130,Interstate Love Song - 2019 Remaster,Stone Temple Pilots,Purple (2019 Remaster),1994-06-07,0.125,0.7576177026243431,0.808135653567137,0.0937129300118624
131,London Calling - Remastered,The Clash,London Calling (Remastered),1979,0.0625,0.5266393570390879,0.8078463661044106,0.6109134045077105
132,Wish You Were Here,Pink Floyd,Wish You Were Here,1975-09-12,0.21875,0.4586271612327992,0.6211446882371268,0.4092526690391458
133,Free Fallin',Tom Petty,Full Moon Fever,1989-01-01,0.21875,0.21871395347387196,0.6744848457875295,0.5776986951364175
134,No Rain,Blind Melon,Blind Melon,1992-01-01,0.15625,0.6161002101220205,0.7632960968445415,0.30011862396204037
135,Panama - 2015 Remaster,Van Halen,1984 (Remastered),1984-01-04,0.125,0.572766440333452,0.8502158529529574,0.4626334519572953
136,Would? (2022 Remaster),Alice In Chains,Dirt (2022 Remaster),1992-09-29,0.125,0.31687897096325673,0.8052427789398728,0.19098457888493472
137,Born to Run,Bruce Springsteen,Born To Run,1975-08-25,0.0625,0.6050641277442126,0.877742667675464,0.1589561091340451
138,Unforgettable,Nat King Cole,Unforgettable,1954-01-01,0.03125,0.5411359059251917,0.6706128443633451,0.25266903914590744
139,"Tchaikovsky: Swan Lake, Op. 20, Act 2: No. 10, Scene. Moderato","Pyotr Ilyich Tchaikovsky, André Previn, London Symphony Orchestra",Tchaikovsky: Swan Lake,1976-01-01,0.0,0.056103202957919485,0.5538074680671148,0.0
140,"Sonata No. 14 ""Moonlight"" in C-Sharp Minor"", Op. 27 No. 2: I. Adagio sostenuto","Ludwig van Beethoven, Paul Lewis","Beethoven: Piano Sonatas, Vol.3",2007-09-25,0.0,0.7563582175168193,0.14195113267168102,0.056939501779359414
141,Experience,"Ludovico Einaudi, Daniel Hope, I Virtuosi Italiani",In A Time Lapse,2013-01-01,0.21875,0.2691245331487752,0.7345453736258846,0.3689205219454329
143,HIM ALL ALONG,Gunna,HIM ALL ALONG,2024-10-18,0.25,0.5031830056801534,0.8304775468423161,0.8730723606168446
144,Leave Me Alone,BigXthaPlug,TAKE CARE,2024-10-11,0.09375,0.49119919193430744,0.8758066669633718,0.8291814946619216
145,PLUTOSKI,Future,MIXTAPE PLUTO,2024-09-20,0.15625,0.44085719808209106,0.7885753705104812,0.7805456702253855
147,WHATCHU KNO ABOUT ME (feat. Sexyy Red),"GloRilla, Sexyy Red",GLORIOUS,2024-10-11,0.3125,0.7336874855813897,0.8667942498553564,0.8256227758007116
148,Insecurities,Lil Baby,Insecurities,2024-11-15,0.0625,0.39032815198618315,0.8525301526547688,0.6097271648873072
149,Gang Baby,NLE Choppa,SLUT SZN,2024-09-27,0.125,0.49724097940554807,0.823534647736882,0.930011862396204
151,Help Me,Real Boston Richey,Help Me,2024-05-31,0.15625,0.18222006072962854,0.8290978681739286,0.7271648873072359
152,No Face,Drake,No Face,2024-08-31,0.3125,0.4778935423330403,0.8408251368552229,0.8505338078291814
153,LIL DEMON,Future,MIXTAPE PLUTO,2024-09-20,0.28125,0.509380670021137,0.8409809070274601,0.8623962040332146
154,2 Slippery (feat. BossMan Dlow),"Luh Tyler, BossMan Dlow",Mr. Skii,2024-08-22,0.03125,0.3577498862098852,0.7593573367751124,0.5599051008303677
155,Sorry Not Sorry,"Lil Yachty, Veeze",Sorry Not Sorry,2024-08-16,0.0625,0.6773473497814608,0.7673683742044595,0.6239620403321471
156,ALL RED,Playboi Carti,ALL RED,2024-09-13,0.40625,0.5847066085557697,0.8651920423694869,0.7402135231316725
157,I CAN’T LET GO,"Lil Tecca, Don Toliver",PLAN A,2024-09-20,0.15625,0.610482407736481,0.8776314032667231,0.6085409252669038
158,Chill Bae,Lil Uzi Vert,Eternal Atake 2,2024-11-01,0.25,0.840188798064633,0.8380212737549513,0.6358244365361803
159,2AM,BigXthaPlug,TAKE CARE,2024-10-11,0.03125,0.4095571226376861,0.8412479416084384,0.8873072360616844
160,It's Up (feat. Young Thug & 21 Savage),"Drake, Young Thug, 21 Savage",100 GIGS,2024-08-30,0.25,0.5651284737160425,0.8625662023232009,0.767497034400949
161,The Viper,BabyChiefDoit,The Viper,2024-09-20,0.0,0.5648977759488227,0.8382883083359296,0.6120996441281138
162,Brokey,Latto,Sugar Honey Iced Tea,2024-08-09,0.0625,0.1602913026941759,0.8215763941430416,0.7591933570581257
163,25,Rod Wave,Last Lap,2024-10-11,0.25,0.09115679342573718,0.7871734389603454,0.34519572953736644
164,Or What,"NLE Choppa, 41, Kyle Richh",Or What,2024-09-06,0.28125,0.4772326244053298,0.8028617205928168,0.7058125741399762
165,Type Shit,"Future, Metro Boomin, Travis Scott, Playboi Carti",WE DON'T TRUST YOU,2024-03-22,0.5,0.5962976125898631,0.8448084026881482,0.597864768683274
167,Thought I Was Dead (feat. ScHoolboy Q & Santigold),"Tyler, The Creator, ScHoolboy Q, Santigold",CHROMAKOPIA,2024-10-28,0.53125,0.5017052929549892,0.8959232720637323,0.7520759193357057
168,FIELD TRIP,"¥$, Playboi Carti, Don Toliver, Kodak Black",FIELD TRIP,2024-08-03,0.125,0.45320264616574085,0.8664382037473853,0.7058125741399762
169,TEFLON DON,Future,MIXTAPE PLUTO,2024-09-20,0.1875,0.4657600867922412,0.8315456851662291,0.9252669039145908
170,Circadian Rhythm,Drake,100 GIGS,2024-08-30,0.34375,0.602944202315707,0.8344608126752415,0.6619217081850532
171,The Largest,BigXthaPlug,The Largest,2024-08-09,0.0,0.5096300730127259,0.9020205616627354,0.9086595492289441
172,Light Year (Practice),Lil Uzi Vert,Eternal Atake 2,2024-11-01,0.15625,0.5667558282361598,0.8102719302149629,0.594306049822064
173,Blow for Blow (feat. J. Cole),"Tee Grizzley, J. Cole",Blow for Blow (feat. J. Cole),2024-09-27,0.03125,0.34453776273046405,0.7441808714228493,0.6393831553973902
174,Rah Tah Tah,"Tyler, The Creator",CHROMAKOPIA,2024-10-28,0.59375,0.2073287069078394,0.8799679558502826,0.6227758007117438
175,Both Ways,Juice WRLD,The Pre-Party (Extended),2024-10-14,0.15625,0.17905264273644972,0.7682139837108906,0.6998813760379595
176,NISSAN ALTIMA,Doechii,Alligator Bites Never Heal,2024-08-30,0.125,0.4223203207322473,0.8553340157550403,0.9940688018979832
177,Tailor Swif,A$AP Rocky,Tailor Swif,2024-08-30,0.1875,0.17579169862142502,0.8486581512305844,0.8161328588374851
178,GEEK TIMË,Yeat,LYFESTYLE,2024-10-18,0.125,0.6779833274100124,0.832613823490142,0.5954922894424673
179,Many Men (Wish Death),50 Cent,Get Rich Or Die Tryin',2003-02-06,0.09375,0.36920995367339443,0.9059815746139126,0.6144721233689205
181,BAND4BAND (feat. Lil Baby),"Central Cee, Lil Baby",BAND4BAND (feat. Lil Baby),2024-05-23,0.40625,0.5661946715050847,0.8545551648938539,0.8849347568208777
183,"Bent (with Kyle Richh, Jenn Carter & TaTa)","41, Kyle Richh, Jenn Carter, TaTa",41 World: Not The Album,2023-11-17,0.0,0.4656478554460261,0.8069339979527349,0.8446026097271647
184,Dior,Pop Smoke,Meet The Woo,2019-07-26,0.25,0.5785588248131037,0.8436289999554942,0.4887307236061684
185,SAY MY GRACE (feat. Travis Scott),"Offset, Travis Scott",SET IT OFF,2023-10-13,0.0625,0.4523484409195489,0.8580933730918154,0.7544483985765124
186,6locc 6a6y,Lil Loaded,6locc 6a6y,2019-12-06,0.03125,0.4725189078642999,0.7926031421069029,0.8718861209964411
187,All My Life (feat. J. Cole),"Lil Durk, J. Cole",All My Life (feat. J. Cole),2023-05-12,0.03125,0.5840332204784797,0.8403133205750145,0.7722419928825622
188,Superhero (Heroes & Villains) [with Future & Chris Brown],"Metro Boomin, Future, Chris Brown",HEROES & VILLAINS,2022-12-02,0.34375,0.41973899976930235,0.8532867506342072,0.6797153024911031
189,Took Her To The O,King Von,Levon James,2020-03-06,0.3125,0.6900669023524939,0.8153678401352976,0.8113879003558717
190,Loading,Central Cee,Wild West,2021-03-12,0.0625,0.590467817661473,0.8336597089323068,0.8469750889679714
191,née-nah,"21 Savage, Travis Scott, Metro Boomin",american dream,2024-01-12,0.15625,0.7239171233858952,0.8260047176109306,0.6465005931198102
192,Love Sosa,Chief Keef,Finally Rich,2012-01-01,0.28125,0.5153850470436394,0.7888424050914594,0.7544483985765124
193,Drankin N Smokin,"Future, Lil Uzi Vert",Pluto x Baby Pluto,2020-11-13,0.0625,0.6400054868658152,0.831056121767769,0.730723606168446
194,Invincible,Pop Smoke,Meet The Woo 2,2020-02-07,0.09375,0.5828922017919607,0.8454092304953492,0.4887307236061684
195,GATTI,"JACKBOYS, Pop Smoke, Travis Scott",JACKBOYS,2019-12-27,0.03125,0.58716946309771,0.8419377809426322,0.5432977461447211
196,The Woo (feat. 50 Cent & Roddy Ricch),"Pop Smoke, 50 Cent, Roddy Ricch",Shoot For The Stars Aim For The Moon,2020-07-03,0.0,0.3142165940280455,0.8453424718501046,0.4199288256227758
197,Neva Cared,Polo G,Neva Cared,2018-03-11,0.0,0.17597251579032702,0.6995415906359874,0.8137603795966784
198,Mr. Glock,Key Glock,Yellow Tape,2020-01-31,0.0625,0.628720001496418,0.8388001246161378,0.7924080664294187
